scenario,n_seg,iters_rust,conv_rust,J_true_rust,J_true_scipy,gap_abs,gap_pct,min_r_rust,min_r_scipy
phase70,8,6,1,3.347149e-05,3.347149e-05,1.747673e-15,0.000,6616.000,6616.000
phase70,16,6,1,3.347149e-05,3.347149e-05,1.747673e-15,0.000,6616.000,6616.000
phase70,32,6,1,3.347149e-05,3.347149e-05,1.747666e-15,0.000,6616.000,6616.000
phase70,64,6,1,3.347149e-05,3.347149e-05,1.747700e-15,0.000,6616.000,6616.000
phase120,8,8,1,2.476447e-05,2.199909e-05,2.765382e-06,12.570,6534.216,6471.000
phase120,16,8,1,2.263317e-05,2.199909e-05,6.340722e-07,2.882,6486.614,6471.000
phase120,32,8,1,2.215674e-05,2.199909e-05,1.576506e-07,0.717,6474.884,6471.000
phase120,64,8,1,2.203768e-05,2.199909e-05,3.858523e-08,0.175,6471.969,6471.000
phase135,8,9,1,9.262479e-05,8.307425e-05,9.550540e-06,11.496,6549.831,6471.988
phase135,16,9,1,8.490308e-05,8.307425e-05,1.828826e-06,2.201,6490.935,6471.988
phase135,32,9,1,8.316189e-05,8.307425e-05,8.763311e-08,0.105,6476.048,6471.988
phase135,64,9,1,8.273132e-05,8.307425e-05,-3.429315e-07,-0.413,6472.251,6471.988
phase170,8,168,1,5.071281e-04,4.493266e-04,5.780150e-05,12.864,6589.538,6471.000
phase170,16,12,1,4.626229e-04,4.493266e-04,1.329623e-05,2.959,6502.894,6471.000
phase170,32,12,1,4.525899e-04,4.493266e-04,3.263226e-06,0.726,6479.381,6471.000
phase170,64,12,1,4.501418e-04,4.493266e-04,8.151908e-07,0.181,6473.077,6471.000
planechange,8,10,1,6.583734e-05,6.015869e-05,5.678656e-06,9.439,6540.166,6471.000
planechange,16,10,1,6.148523e-05,6.015869e-05,1.326539e-06,2.205,6489.076,6471.000
planechange,32,10,1,6.048383e-05,6.015869e-05,3.251450e-07,0.540,6475.539,6471.000
planechange,64,10,1,6.023951e-05,6.015869e-05,8.082226e-08,0.134,6472.139,6471.000
