scenario,cell,iterations,capped,scvx_converged,stop_reason,feasible,min_radius,J_true,cost_true_energy
phase70,(a) trust0 + prox1e-6,12000,True,0,0,True,6616.000,5.559807e-05,5.559946e-05
phase70,(a0) trust0 + prox0,69,False,0,0,True,6616.000,3.347149e-05,3.347253e-05
phase70,(b) trust2000 + prox0,6,False,1,4,True,6616.000,3.347149e-05,3.347253e-05
phase70,(c) trust2000 + prox1e-6,6,False,1,4,True,6616.000,3.347149e-05,3.347253e-05
phase120,(a) trust0 + prox1e-6,12000,True,0,0,True,6486.659,2.459697e-05,2.459288e-05
phase120,(a0) trust0 + prox0,1197,False,0,0,True,6486.624,2.267170e-05,2.266781e-05
phase120,(b) trust2000 + prox0,8,False,1,4,True,6486.614,2.263317e-05,2.262928e-05
phase120,(c) trust2000 + prox1e-6,8,False,1,4,True,6486.614,2.263317e-05,2.262928e-05
phase135,(a) trust0 + prox1e-6,12000,True,0,0,True,6493.301,9.927433e-05,9.926367e-05
phase135,(a0) trust0 + prox0,2385,False,0,0,True,6491.038,8.493797e-05,8.492802e-05
phase135,(b) trust4000 + prox0,9,False,1,4,True,6490.935,8.490308e-05,8.489313e-05
phase135,(c) trust4000 + prox1e-6,9,False,1,4,True,6490.935,8.490308e-05,8.489313e-05
phase170,(a) trust0 + prox1e-6,12000,True,0,0,True,6616.000,2.414994e-03,2.414979e-03
phase170,(a0) trust0 + prox0,12000,True,0,0,True,6502.728,4.630532e-04,4.630144e-04
phase170,(b) trust4000 + prox0,12,False,1,4,True,6502.894,4.626229e-04,4.625838e-04
phase170,(c) trust4000 + prox1e-6,12,False,1,4,True,6502.894,4.626229e-04,4.625838e-04
planechange,(a) trust0 + prox1e-6,12000,True,0,0,True,6490.232,9.383261e-05,9.382611e-05
planechange,(a0) trust0 + prox0,2339,False,0,0,True,6489.173,6.158024e-05,6.157384e-05
planechange,(b) trust2000 + prox0,10,False,1,4,True,6489.076,6.148523e-05,6.147884e-05
planechange,(c) trust2000 + prox1e-6,10,False,1,4,True,6489.076,6.148523e-05,6.147884e-05
