scenario,n_seg,min_r,clearance,bc_v0_err,bc_v1_err,ratio_surrogate,ratio_true,PASS
phase70,8,6616.000,145.000,1.14e-16,5.79e-16,1.604e-07,3.060e-06,True
phase70,16,6616.000,145.000,1.14e-16,5.79e-16,1.604e-07,3.060e-06,True
phase70,32,6616.000,145.000,1.14e-16,5.79e-16,1.604e-07,3.060e-06,True
phase120,8,6534.216,63.216,1.31e-16,6.87e-16,2.609e-01,2.609e-01,True
phase120,16,6486.614,15.614,1.31e-16,6.47e-16,2.389e-01,2.389e-01,True
phase120,32,6474.884,3.884,1.31e-16,6.47e-16,2.329e-01,2.329e-01,True
phase135,8,6549.831,78.831,2.37e-16,6.47e-16,3.336e-01,3.336e-01,True
phase135,16,6490.935,19.935,2.37e-16,6.47e-16,3.126e-01,3.126e-01,True
phase135,32,6476.048,5.048,2.37e-16,6.47e-16,3.088e-01,3.088e-01,True
phase170,8,6589.538,118.538,3.80e-16,5.79e-16,4.233e-01,4.233e-01,True
phase170,16,6502.894,31.894,4.00e-16,2.89e-16,4.059e-01,4.059e-01,True
phase170,32,6479.381,8.381,3.80e-16,2.89e-16,4.032e-01,4.032e-01,True
planechange,8,6540.166,69.166,2.57e-16,4.18e-16,2.672e-01,2.672e-01,True
planechange,16,6489.076,18.076,1.31e-16,3.67e-16,2.477e-01,2.477e-01,True
planechange,32,6475.539,4.539,2.57e-16,4.18e-16,2.436e-01,2.436e-01,True
