step,phase,rho,trust,merit,step_norm,slack
1,0,nan,4000.000,7.417872e+02,1.4000e+04,1.1137e+05
2,1,1.0000,8000.000,6.669035e-04,8.5449e+03,-1.5701e-13
3,1,1.0024,16000.000,4.648894e-04,3.1309e+03,9.7111e-14
4,1,0.9957,16000.000,4.626688e-04,1.7814e+02,2.8483e-15
5,1,0.9734,16000.000,4.626276e-04,3.1882e+01,3.0536e-17
6,1,0.9661,16000.000,4.626232e-04,1.1603e+01,3.6142e-19
7,1,0.9655,16000.000,4.626226e-04,4.3457e+00,2.6260e-19
8,1,0.9654,16000.000,4.626225e-04,1.6311e+00,2.9236e-19
9,1,0.9675,16000.000,4.626225e-04,6.1236e-01,2.0170e-18
10,1,0.9858,16000.000,4.626225e-04,2.2990e-01,3.0201e-19
11,1,1.0024,16000.000,4.626225e-04,8.6313e-02,3.1243e-19
