scenario,N,n_seg,iterations,converged,stop_reason,capped,feasible,min_radius,clearance,cost_true_energy,J_true,max_koz_slack
phase70,6,2,43,1,2,False,True,6616.000,145.000,4.247957e-04,4.247957e-04,0.000
phase70,6,4,6,1,4,False,True,6616.000,145.000,3.347458e-05,3.347354e-05,0.000
phase70,6,8,6,1,4,False,True,6616.000,145.000,3.347458e-05,3.347354e-05,0.000
phase70,6,16,6,1,4,False,True,6616.000,145.000,3.347458e-05,3.347354e-05,0.000
phase70,6,32,6,1,4,False,True,6616.000,145.000,3.347458e-05,3.347354e-05,0.000
phase70,6,64,6,1,4,False,True,6616.000,145.000,3.347458e-05,3.347354e-05,0.000
phase70,7,2,42,1,2,False,True,6616.000,145.000,4.150308e-04,4.150309e-04,0.000
phase70,7,4,6,1,4,False,True,6616.000,145.000,3.347253e-05,3.347149e-05,0.000
phase70,7,8,6,1,4,False,True,6616.000,145.000,3.347253e-05,3.347149e-05,0.000
phase70,7,16,6,1,4,False,True,6616.000,145.000,3.347253e-05,3.347149e-05,0.000
phase70,7,32,6,1,4,False,True,6616.000,145.000,3.347253e-05,3.347149e-05,0.000
phase70,7,64,6,1,4,False,True,6616.000,145.000,3.347253e-05,3.347149e-05,0.000
phase70,8,2,42,1,2,False,True,6616.000,145.000,4.112620e-04,4.112621e-04,0.000
phase70,8,4,6,1,4,False,True,6616.000,145.000,3.347249e-05,3.347145e-05,0.000
phase70,8,8,6,1,4,False,True,6616.000,145.000,3.347249e-05,3.347145e-05,0.000
phase70,8,16,6,1,4,False,True,6616.000,145.000,3.347249e-05,3.347145e-05,0.000
phase70,8,32,6,1,4,False,True,6616.000,145.000,3.347249e-05,3.347145e-05,0.000
phase70,8,64,6,1,4,False,True,6616.000,145.000,3.347249e-05,3.347145e-05,0.000
phase120,6,2,1000,0,0,True,True,6616.000,145.000,1.086771e-02,1.086779e-02,0.000
phase120,6,4,13,1,4,False,True,6616.000,145.000,7.065586e-05,7.066103e-05,0.000
phase120,6,8,8,1,4,False,True,6534.200,63.200,2.478619e-05,2.479017e-05,0.000
phase120,6,16,8,1,4,False,True,6486.566,15.566,2.265981e-05,2.266370e-05,0.000
phase120,6,32,8,1,4,False,True,6474.866,3.866,2.217886e-05,2.218272e-05,0.000
phase120,6,64,8,1,4,False,True,6471.965,0.965,2.206188e-05,2.206574e-05,0.000
phase120,7,2,1000,0,0,True,True,6616.000,145.000,1.042685e-02,1.042692e-02,0.000
phase120,7,4,12,1,4,False,True,6616.000,145.000,7.039215e-05,7.039730e-05,0.000
phase120,7,8,8,1,4,False,True,6534.216,63.216,2.476050e-05,2.476447e-05,0.000
phase120,7,16,8,1,4,False,True,6486.614,15.614,2.262928e-05,2.263317e-05,0.000
phase120,7,32,8,1,4,False,True,6474.884,3.884,2.215288e-05,2.215674e-05,0.000
phase120,7,64,8,1,4,False,True,6471.969,0.969,2.203382e-05,2.203768e-05,0.000
phase120,8,2,1000,0,0,True,True,6616.000,145.000,9.761616e-03,9.761692e-03,0.000
phase120,8,4,12,1,4,False,True,6616.000,145.000,7.034582e-05,7.035097e-05,0.000
phase120,8,8,8,1,4,False,True,6533.750,62.750,2.471467e-05,2.471864e-05,0.000
phase120,8,16,8,1,4,False,True,6486.867,15.867,2.256657e-05,2.257046e-05,0.000
phase120,8,32,8,1,4,False,True,6474.943,3.943,2.208314e-05,2.208700e-05,0.000
phase120,8,64,8,1,4,False,True,6471.985,0.985,2.196487e-05,2.196872e-05,0.000
phase135,6,2,1000,0,0,True,True,6616.000,145.000,2.691225e-02,2.691241e-02,0.000
phase135,6,4,13,1,4,False,True,6616.000,145.000,2.281273e-04,2.281401e-04,0.000
phase135,6,8,16,1,4,False,True,6549.386,78.386,9.275367e-05,9.276378e-05,0.000
phase135,6,16,9,1,4,False,True,6490.811,19.811,8.496364e-05,8.497359e-05,0.000
phase135,6,32,9,1,4,False,True,6476.071,5.071,8.322852e-05,8.323845e-05,0.000
phase135,6,64,9,1,4,False,True,6472.284,1.284,8.280378e-05,8.281370e-05,0.000
phase135,7,2,1000,0,0,True,True,6616.000,145.000,2.356510e-02,2.356523e-02,0.000
phase135,7,4,12,1,4,False,True,6616.000,145.000,2.275105e-04,2.275232e-04,0.000
phase135,7,8,9,1,4,False,True,6549.831,78.831,9.261469e-05,9.262479e-05,0.000
phase135,7,16,9,1,4,False,True,6490.935,19.935,8.489313e-05,8.490308e-05,0.000
phase135,7,32,9,1,4,False,True,6476.048,5.048,8.315196e-05,8.316189e-05,0.000
phase135,7,64,9,1,4,False,True,6472.251,1.251,8.272141e-05,8.273132e-05,0.000
phase135,8,2,1000,0,0,True,True,6616.000,145.000,2.250410e-02,2.250422e-02,0.000
phase135,8,4,13,1,4,False,True,6616.000,145.000,2.270466e-04,2.270592e-04,0.000
phase135,8,8,9,1,4,False,True,6550.231,79.231,9.258116e-05,9.259126e-05,0.000
phase135,8,16,9,1,4,False,True,6490.910,19.910,8.485342e-05,8.486337e-05,0.000
phase135,8,32,9,1,4,False,True,6476.069,5.069,8.311272e-05,8.312265e-05,0.000
phase135,8,64,9,1,4,False,True,6472.290,1.290,8.268411e-05,8.269403e-05,0.000
phase170,6,2,1000,0,0,True,True,6616.000,145.000,2.136707e-01,2.136713e-01,0.000
phase170,6,4,45,1,4,False,True,6616.000,145.000,1.327307e-03,1.327360e-03,0.000
