scenario,degree,n_seg,trust_radius_km,completed_repeats,error_repeats,certified,dense_probe_ok,margin_km,ctrl_cost_ms2,objective,iters,stop,hull_violation_km,runtime_min_s,runtime_median_s,runtime_max_s,consistent_metrics,J_true,koz_binds,tau_star
phase70,6,2,2000.0,15,0,False,True,144.9999999999991,16.39366049132967,0.00042479571701045573,43,2,2.3646862246096134e-09,0.16541266441345215,0.17196202278137207,0.1938786506652832,True,0.00042479571869823466,False,0.0
phase70,6,4,2000.0,15,0,True,True,144.9999999999991,5.19898002521083,3.347457949466853e-05,6,4,0.0,0.06705904006958008,0.06731700897216797,0.06980609893798828,True,3.34735419466841e-05,False,0.0
phase70,6,8,2000.0,15,0,True,True,144.9999999999991,5.198980025212904,3.347457949466842e-05,6,4,0.0,0.07091617584228516,0.0731971263885498,0.07731366157531738,True,3.347354194668411e-05,False,0.0
phase70,6,16,2000.0,15,0,True,True,144.9999999999991,5.198980025210837,3.347457949467005e-05,6,4,0.0,0.07831692695617676,0.0800321102142334,0.12768197059631348,True,3.34735419466841e-05,False,0.0
phase70,6,32,2000.0,15,0,True,True,144.9999999999991,5.1989800252079,3.347457949466777e-05,6,4,0.0,0.09662222862243652,0.10187292098999023,0.11267781257629395,True,3.34735419466841e-05,False,0.0
phase70,6,64,2000.0,15,0,True,True,144.9999999999991,5.198980025210834,3.347457949466777e-05,6,4,0.0,0.13739895820617676,0.141373872756958,0.3107011318206787,True,3.34735419466841e-05,False,0.0
phase70,7,2,2000.0,15,0,False,True,144.9999999999991,17.0971146141367,0.0004150307965135557,42,2,9.913492249324918e-10,0.1996748447418213,0.20363426208496094,0.2117919921875,True,0.00041503094366504887,False,0.0
phase70,7,4,2000.0,15,0,True,True,144.9999999999991,5.205705499631069,3.347253035889785e-05,6,4,0.0,0.07969784736633301,0.08015990257263184,0.08358597755432129,True,3.347149250488501e-05,False,0.0
phase70,7,8,2000.0,15,0,True,True,144.9999999999991,5.20570549963106,3.347253035889666e-05,6,4,0.0,0.08410501480102539,0.08626818656921387,0.09285283088684082,True,3.347149250488499e-05,False,0.0
phase70,7,16,2000.0,15,0,True,True,144.9999999999991,5.205705499631065,3.3472530358901104e-05,6,4,0.0,0.09401202201843262,0.09549212455749512,0.13225483894348145,True,3.347149250488499e-05,False,0.0
phase70,7,32,2000.0,15,0,True,True,144.9999999999991,5.205705499631047,3.347253035890024e-05,6,4,0.0,0.11555099487304688,0.11707305908203125,0.1205282211303711,True,3.3471492504885004e-05,False,0.0
phase70,7,64,2000.0,15,0,True,True,144.9999999999991,5.2057054996310645,3.347253035889601e-05,6,4,0.0,0.1701970100402832,0.1714458465576172,0.20324921607971191,True,3.3471492504884984e-05,False,0.0
phase70,8,2,2000.0,15,0,False,True,144.9999999999991,17.032031697213878,0.000411261981729907,42,2,1.1036718206014484e-08,0.24235796928405762,0.245438814163208,0.37966489791870117,True,0.0004112621142777041,False,0.0
phase70,8,4,2000.0,15,0,True,True,144.9999999999991,5.205280603114402,3.34724916875289e-05,6,4,0.0,0.09285330772399902,0.09696412086486816,0.16278600692749023,True,3.3471453879196887e-05,False,0.0
phase70,8,8,2000.0,15,0,True,True,144.9999999999991,5.2052806031123815,3.347249168752565e-05,6,4,0.0,0.09831094741821289,0.10109686851501465,0.10376596450805664,True,3.347145387919692e-05,False,0.0
phase70,8,16,2000.0,15,0,True,True,144.9999999999991,5.2052806031104595,3.3472491687526625e-05,6,4,0.0,0.11076879501342773,0.11204028129577637,0.15407514572143555,True,3.3471453879196954e-05,False,0.0
phase70,8,32,2000.0,15,0,True,True,144.9999999999991,5.205280603110456,3.347249168753378e-05,6,4,0.0,0.13649511337280273,0.13816332817077637,0.1707780361175537,True,3.347145387919692e-05,False,0.0
phase70,8,64,2000.0,15,0,True,True,144.9999999999991,5.205280603124128,3.347249168753508e-05,6,4,0.0,0.1959521770477295,0.19757795333862305,0.2038259506225586,True,3.3471453879196887e-05,False,0.0
phase120,6,2,2000.0,15,0,False,True,145.0,96.84302640710125,0.010874951764742399,1000,0,2.5263634597649798e-06,2.7681009769439697,2.7818241119384766,2.9785940647125244,True,0.010875028453673899,False,0.0
phase120,6,4,2000.0,15,0,True,True,145.0,8.159825078813647,7.065585938126654e-05,13,4,1.8189894035458565e-12,0.0875856876373291,0.0884711742401123,0.09118795394897461,True,7.066103194276411e-05,False,0.0
phase120,6,8,2000.0,15,0,True,True,63.20029312823772,4.871980175041751,2.478619057435128e-05,8,4,0.0,0.07825517654418945,0.07905101776123047,0.11661815643310547,True,2.4790171812027782e-05,True,0.3831
phase120,6,16,2000.0,15,0,True,True,15.566325268164292,4.652060302973214,2.2659814563781187e-05,8,4,0.0,0.08978390693664551,0.09220027923583984,0.10477900505065918,True,2.266370392745008e-05,True,0.46790000000000004
phase120,6,32,2000.0,15,0,True,True,3.865596976602319,4.601347297061028,2.2178856568397785e-05,8,4,0.0,0.11384105682373047,0.1155538558959961,0.1533830165863037,True,2.218272363314288e-05,True,0.45280000000000004
phase120,6,64,2000.0,15,0,True,True,0.9652014302337193,4.588080351649523,2.2061882866756676e-05,8,4,0.0,0.17565608024597168,0.180617094039917,0.2882559299468994,True,2.2065743458443696e-05,True,0.46085000000000004
phase120,7,2,2000.0,15,0,False,True,145.0,96.82676431308042,0.010428183631085431,1000,0,6.5067415562225506e-06,3.4718823432922363,3.4964001178741455,3.7897326946258545,True,0.01042826148814626,False,0.0
phase120,7,4,2000.0,15,0,True,True,145.0,8.158590214081109,7.039214639072231e-05,12,4,0.0,0.10212993621826172,0.10343503952026367,0.17693376541137695,True,7.039729907532273e-05,False,0.0
phase120,7,8,2000.0,15,0,True,True,63.21551860239833,4.867731614073094,2.4760495252323716e-05,8,4,0.0,0.09458088874816895,0.09585785865783691,0.09922099113464355,True,2.476447479233931e-05,True,0.35545000000000004
phase120,7,16,2000.0,15,0,True,True,15.614414324155405,4.648897450683348,2.2629276412914072e-05,8,4,0.0,0.10782909393310547,0.10835027694702148,0.10928106307983398,True,2.2633165476071673e-05,True,0.46855
phase120,7,32,2000.0,15,0,True,True,3.883621671952824,4.598448855042841,2.2152877349686066e-05,8,4,0.0,0.14028406143188477,0.14588713645935059,0.26223206520080566,True,2.215674389262374e-05,True,0.4529
phase120,7,64,2000.0,15,0,True,True,0.9691499664895673,4.585266614833761,2.2033818132292677e-05,8,4,0.0,0.2168750762939453,0.21909689903259277,0.2288670539855957,True,2.2037678493304e-05,True,0.46090000000000003
phase120,8,2,2000.0,15,0,False,True,145.0,94.69249852343724,0.009762582475083974,1000,0,9.69583197729662e-07,4.399389982223511,4.622522830963135,5.643135070800781,True,0.009762658274847147,False,0.0
phase120,8,4,2000.0,15,0,True,True,145.0,8.161153791671655,7.034581845304262e-05,12,4,1.8189894035458565e-12,0.12032198905944824,0.1228029727935791,0.22888398170471191,True,7.035096818469781e-05,False,0.0
phase120,8,8,2000.0,15,0,True,True,62.750043059863856,4.8542604142783015,2.4714665858648608e-05,8,4,0.0,0.11095285415649414,0.11371183395385742,0.12194108963012695,True,2.4718640607247126e-05,True,0.3372
phase120,8,16,2000.0,15,0,True,True,15.8665688617657,4.6345012819691584,2.256657465246972e-05,8,4,0.0,0.12833213806152344,0.13303518295288086,0.17719507217407227,True,2.257045744993083e-05,True,0.46715
phase120,8,32,2000.0,15,0,True,True,3.9428336794644565,4.583217771281099,2.2083141186342563e-05,8,4,0.0,0.17119789123535156,0.17719602584838867,0.29237890243530273,True,2.2087000719690763e-05,True,0.45245
phase120,8,64,2000.0,15,0,True,True,0.9845773553806794,4.57031724320025,2.1964867523653685e-05,8,4,0.0,0.2601308822631836,0.2971930503845215,0.4876291751861572,True,2.1968720868717136e-05,True,0.46080000000000004
phase135,6,2,4000.0,15,0,False,True,144.9999999999991,152.68375904776303,0.026908934146885534,1000,0,6.449051943491213e-05,2.752406120300293,2.8957347869873047,3.887298107147217,True,0.026909093543092753,False,0.0
phase135,6,4,4000.0,15,0,True,True,144.9999999999991,14.650025945133823,0.00022812732048379158,13,4,3.637978807091713e-12,0.08736300468444824,0.08819723129272461,0.09141087532043457,True,0.00022814006170029157,False,0.0
phase135,6,8,4000.0,15,0,True,True,78.38632827365745,9.50828768831715,9.275367354924101e-05,16,4,0.0,0.10589599609375,0.10721802711486816,0.15005111694335938,True,9.276378357797442e-05,True,0.2891
phase135,6,16,4000.0,15,0,True,True,19.810709650545505,9.073576366280358,8.496363798083338e-05,9,4,0.0,0.09462404251098633,0.09540128707885742,0.0962057113647461,True,8.497359240374848e-05,True,0.33805
phase135,6,32,4000.0,15,0,True,True,5.070635438244608,8.978590552488022,8.322852443613663e-05,9,4,0.0,0.12276029586791992,0.12368392944335938,0.12779903411865234,True,8.323844591343299e-05,True,0.35415
phase135,6,64,4000.0,15,0,True,True,1.2838790446148778,8.957624142399892,8.280378304166027e-05,9,4,0.0,0.18529987335205078,0.18703484535217285,0.1939070224761963,True,8.281369987864128e-05,True,0.57055
phase135,7,2,4000.0,15,0,False,True,144.9999999999991,146.76429012490092,0.023575013355686177,1000,0,4.318234459788073e-06,3.4351351261138916,3.4806981086730957,3.7556750774383545,True,0.023575139502512922,False,0.0
phase135,7,4,4000.0,15,0,True,True,144.9999999999991,14.65321052899178,0.00022751047668608036,12,4,0.0,0.10231184959411621,0.10305905342102051,0.1087491512298584,True,0.00022752317711948345,False,0.0
phase135,7,8,4000.0,15,0,True,True,78.83065423894914,9.487946936094074,9.261468576357188e-05,9,4,0.0,0.10007286071777344,0.1009681224822998,0.20925688743591309,True,9.262479456738975e-05,True,0.2777
phase135,7,16,4000.0,15,0,True,True,19.93471193197638,9.062796793082597,8.489312572304976e-05,9,4,0.0,0.11702895164489746,0.11767387390136719,0.12085294723510742,True,8.490308026342057e-05,True,0.33645
phase135,7,32,4000.0,15,0,True,True,5.048246366156491,8.96945003613276,8.315196181313234e-05,9,4,0.0,0.15562200546264648,0.15676188468933105,0.1960761547088623,True,8.316188723457102e-05,True,0.35705000000000003
phase135,7,64,4000.0,15,0,True,True,1.251234646757439,8.941908309359151,8.272141265371492e-05,9,4,0.0,0.23531794548034668,0.23697876930236816,0.24352097511291504,True,8.27313225851499e-05,True,0.35100000000000003
phase135,8,2,4000.0,15,0,False,True,144.9999999999991,144.69404906868726,0.022503119386511602,1000,0,4.397716111270711e-06,4.360184192657471,4.387850046157837,4.609643936157227,True,0.022503243946631207,False,0.0
phase135,8,4,4000.0,15,0,True,True,144.9999999999991,14.673221711301021,0.0002270465601671484,13,4,2.7284841053187847e-12,0.12626099586486816,0.12756896018981934,0.1360797882080078,True,0.00022705922377682432,False,0.0
phase135,8,8,4000.0,15,0,True,True,79.23139717106642,9.489588206909257,9.258115639479252e-05,9,4,0.0,0.11994433403015137,0.12054872512817383,0.1243598461151123,True,9.259125783847068e-05,True,0.27080000000000004
phase135,8,16,4000.0,15,0,True,True,19.910468393753945,9.053215652690566,8.485342012650636e-05,9,4,0.0,0.14047479629516602,0.14131999015808105,0.14881372451782227,True,8.486337463229733e-05,True,0.33695
