scenario,degree,n_ctrl,n_seg,certified,dense_probe_ok,disagree,koz_binds,tau_star,trust_radius_km,margin_km,l_seg_km,pred_margin_km,ctrl_cost_ms2,objective,runtime_s,iters,stop,stop_name,hull_violation_km
phase70,7,8,16,True,True,False,False,0.000000e+00,2.000000e+03,1.450000e+02,7.027275e+02,9.539212e+00,5.205705e+00,3.347253e-05,9.319568e-02,6,4,모형 정지점,0.000000e+00
phase120,7,8,16,True,True,False,True,4.685500e-01,2.000000e+03,1.561441e+01,9.138879e+02,1.613335e+01,4.648897e+00,2.262928e-05,1.072881e-01,8,4,모형 정지점,0.000000e+00
phase135,7,8,16,True,True,False,True,3.364500e-01,2.000000e+03,1.993471e+01,1.031790e+03,2.056466e+01,9.062797e+00,8.489313e-05,1.291080e-01,11,4,모형 정지점,0.000000e+00
phase170,7,8,16,True,True,False,True,2.592000e-01,4.000000e+03,3.189366e+01,1.294893e+03,3.238966e+01,2.116637e+01,4.625838e-04,1.330090e-01,12,4,모형 정지점,0.000000e+00
planechange,7,8,16,True,True,False,True,5.362000e-01,2.000000e+03,1.807648e+01,9.788021e+02,1.850668e+01,7.643975e+00,6.147884e-05,1.206489e-01,10,4,모형 정지점,0.000000e+00
phase120,7,8,2,False,True,True,False,0.000000e+00,2.000000e+03,1.450000e+02,7.946740e+03,1.219879e+03,9.682676e+01,1.042818e-02,3.438781e+00,1000,0,반복 한도,6.506742e-06
phase120,7,8,4,True,True,False,False,0.000000e+00,2.000000e+03,1.450000e+02,2.859836e+03,1.579869e+02,8.158590e+00,7.039215e-05,1.014500e-01,12,4,모형 정지점,0.000000e+00
phase120,7,8,8,True,True,False,True,3.554500e-01,2.000000e+03,6.321552e+01,1.792565e+03,6.207099e+01,4.867732e+00,2.476050e-05,9.415293e-02,8,4,모형 정지점,0.000000e+00
phase120,7,8,16,True,True,False,True,4.685500e-01,2.000000e+03,1.561441e+01,9.138879e+02,1.613335e+01,4.648897e+00,2.262928e-05,1.072910e-01,8,4,모형 정지점,0.000000e+00
phase120,7,8,32,True,True,False,True,4.529000e-01,2.000000e+03,3.883622e+00,4.569427e+02,4.033315e+00,4.598449e+00,2.215288e-05,1.382072e-01,8,4,모형 정지점,0.000000e+00
phase120,7,8,64,True,True,False,True,4.609000e-01,2.000000e+03,9.691500e-01,2.286378e+02,1.009798e+00,4.585267e+00,2.203382e-05,2.160010e-01,8,4,모형 정지점,0.000000e+00
phase120,6,7,16,True,True,False,True,4.679000e-01,2.000000e+03,1.556633e+01,9.131549e+02,1.610748e+01,4.652060e+00,2.265981e-05,8.906293e-02,8,4,모형 정지점,0.000000e+00
phase120,7,8,16,True,True,False,True,4.685500e-01,2.000000e+03,1.561441e+01,9.138879e+02,1.613335e+01,4.648897e+00,2.262928e-05,1.073949e-01,8,4,모형 정지점,0.000000e+00
phase120,8,9,16,True,True,False,True,4.671500e-01,2.000000e+03,1.586657e+01,9.139696e+02,1.613623e+01,4.634501e+00,2.256657e-05,1.290891e-01,8,4,모형 정지점,0.000000e+00
